fecha_acta,acta_numero,acta_periodo,superficie,etapa,long,lat,calle_nombre,calle_altura,barrio,comuna,codigo_postal,codigo_postal_argentino
2019-05-17,167621,2018,0.0,Otros,-58.437038,-34.629806,ZUVIRIA 801,801,Parque Chacabuco,Comuna 7,1424.0,C1424CKQ
2019-02-19,152488,2018,0.0,Terminaciones,-58.486372,-34.669138000000004,ZUVIRIA 5723,5723,Villa Lugano,Comuna 8,1439.0,C1439BEC
2019-04-30,173645,2018,0.0,Estructura en elevación,-58.431047,-34.628945,ZUVIRIA 313,313,Parque Chacabuco,Comuna 7,1424.0,C1424CKG
2019-03-26,177455,2018,0.0,Albañilería,-58.46044300000001,-34.646162,ZUVIRIA 3075,3075,Flores,Comuna 7,1406.0,C1406HTA
2019-05-15,202682,2019,0.0,Mampostería gruesa,-58.512117,-34.60828,ZURICH 3131,3131,Villa Devoto,Comuna 11,1417.0,C1417BFC
2019-05-15,47871,2018,0.0,Mampostería gruesa,-58.512117,-34.60828,ZURICH 3131,3131,Villa Devoto,Comuna 11,1417.0,C1417BFC
2019-02-11,178083,2018,0.0,Otros,-58.40858100000001,-34.601864,ZELAYA 3031,3031,Balvanera,Comuna 3,1171.0,C1171ADA
2019-03-18,186300,2019,0.0,Otros,-58.40858100000001,-34.601864,ZELAYA 3031,3031,Balvanera,Comuna 3,1171.0,C1171ADA
2019-05-17,193559,2019,0.0,Otros,-58.40858100000001,-34.601864,ZELAYA 3031,3031,Balvanera,Comuna 3,1171.0,C1171ADA
2019-02-18,178523,2018,0.0,Otros,-58.425736,-34.639444,ZELARRAYAN 641,641,Parque Chacabuco,Comuna 7,1424.0,C1424DBC
2019-04-01,187713,2019,0.0,Otros,-58.425736,-34.639444,ZELARRAYAN 641,641,Parque Chacabuco,Comuna 7,1424.0,C1424DBC
2019-03-11,159112,2018,0.0,Otros,-58.516886,-34.659471999999994,ZELADA 7475,7475,Mataderos,Comuna 9,1440.0,C1440BXU
2019-05-09,201546,2019,0.0,Albañilería,-58.51589300000001,-34.658531,ZELADA 7379,7379,Mataderos,Comuna 9,1440.0,C1440BXS
2019-05-08,201552,2019,0.0,Terminaciones,-58.509487,-34.652376000000004,ZELADA 6449,6449,Mataderos,Comuna 9,1440.0,C1440BXA
2019-01-11,175641,2018,0.0,Otros,-58.505024,-34.64825,ZELADA 5947,5947,Mataderos,Comuna 9,1440.0,C1440BWQ
2019-01-31,180415,2018,0.0,Otros,-58.505024,-34.64825,ZELADA 5947,5947,Mataderos,Comuna 9,1440.0,C1440BWQ
2019-03-13,183692,2019,0.0,Otros,-58.505024,-34.64825,ZELADA 5947,5947,Mataderos,Comuna 9,1440.0,C1440BWQ
2019-04-30,192408,2019,0.0,Otros,-58.505024,-34.64825,ZELADA 5947,5947,Mataderos,Comuna 9,1440.0,C1440BWQ
